trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct
2024-05-01,AAL,BBG005P7Q907,true,26,51,13.510000,13.500000,918642.537500,488765203.451500,8829332830.500000,0.161077,0,0.019020,4,0.008310,4,0.003691,0,0.466205,1,0.078514,0,-2.397851,0,-0.074019,0,0.212211,0,44.000000,0,2,2,0.264102,0,72.502291,4,58.811415,2,50.909422,1,4.037221,2,0.888231,0,488765203.451500,4,918642.537500,2,26,34.210526,11,22.916667,alpha_v1.1_19m,25.000000,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,13.500000,13.810000,13.330000,13.580000,2.296296,-1.259259,0.592593,2024-05-01T15:11:00-04:00,0.444444,-0.222222,false,,0.000000,,,,,,
2024-05-01,ACB,BBG001SV77D1,false,54,173,9.230000,8.320600,6241182.657367,110521651.161750,4384711500.000000,3.910308,4,-0.130116,0,-0.146687,0,-0.095606,0,0.255636,1,2.020364,4,2.078113,4,-9.852654,0,-3.881285,0,37.790698,0,0,0,0.607898,0,39.045039,0,32.000824,0,38.865663,0,10.269927,4,9.967497,2,110521651.161750,4,6241182.657367,4,27,35.526316,13,27.083333,alpha_v1.1_19m,,false,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,8.490000,8.650000,7.080000,7.350000,1.884570,-16.607774,-13.427562,2024-05-01T09:32:00-04:00,1.884570,-12.073027,false,,0.000000,,,,,,
2024-05-01,ACHR,BBG00XRTC929,true,20,40,3.880000,3.880000,171435.865167,14608705.786500,1167017503.160000,0.781661,0,-0.009954,0,,,-0.012560,0,7.437105,4,,,-0.421541,0,0.000000,0,-0.028293,0,30.769231,0,0,0,0.600218,0,50.000000,1,,,38.925803,0,4.930412,2,2.835052,0,14608705.786500,2,171435.865167,0,9,11.842105,4,8.333333,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,3.890000,4.190000,3.860000,4.000000,7.712082,-0.771208,2.827763,2024-05-01T15:02:00-04:00,1.799486,0.899743,false,,0.000000,,,,,,
2024-05-01,ACMR,BBG00HPSG942,true,10,16,25.520000,25.320000,176727.486667,36658813.722000,1546710928.400000,0.626944,0,,,,,,,,,,,,,-0.783699,0,0.519236,2,53.333333,1,0,0,0.156262,0,,,,,,,7.558218,3,1.097179,0,36658813.722000,3,176727.486667,0,9,11.842105,3,6.250000,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,25.140000,26.040000,24.570000,24.900000,3.579952,-2.267303,-0.954654,2024-05-01T15:02:00-04:00,1.431981,0.059666,false,,0.000000,,,,,,
2024-05-01,AI,BBG00Y6G6Y84,true,17,33,22.530000,22.400000,1036534.625067,107916470.073500,2700562888.410000,0.542230,0,,,,,,,,,,,,,-0.577008,0,0.054313,0,40.625000,0,0,0,0.393015,0,,,,,,,4.321635,2,1.541056,0,107916470.073500,4,1036534.625067,3,9,11.842105,0,0.000000,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,22.450000,23.580000,22.284600,22.680000,5.033408,-0.736748,1.024499,2024-05-01T15:02:00-04:00,1.959911,1.024499,false,,0.000000,,,,,,
2024-05-01,ALT,BBG001SNS461,true,23,31,6.550000,6.610000,1160772.497100,22915476.278000,351924105.050000,6.815949,4,,,-0.018525,0,0.028206,1,,,-5.423983,0,-1.488438,0,0.916031,0,0.402858,1,36.666667,0,0,0,0.390898,0,,,50.000000,1,62.119114,3,9.117230,3,2.900763,0,22915476.278000,2,1160772.497100,3,18,23.684211,6,12.500000,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,6.640000,7.390000,6.550000,7.060000,11.295181,-1.355422,6.325301,2024-05-01T15:00:00-04:00,2.635542,0.451807,false,,0.000000,,,,,,
2024-05-01,AMC,BBG001SZYYL4,false,47,92,2.930000,2.940000,1266439.417000,53273741.627500,726512052.760000,1.279676,2,0.018202,1,0.021716,1,0.010295,0,14.634185,4,11.279317,4,4.248923,4,0.341297,0,0.364075,1,27.472527,0,3,3,0.307433,0,50.000000,1,53.863988,1,52.385496,1,10.043881,4,2.389078,0,53273741.627500,4,1266439.417000,3,34,44.736842,20,41.666667,alpha_v1.1_19m,47.916667,false,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,2.920000,3.070000,2.835000,2.972100,5.136986,-2.910959,1.784247,2024-05-01T14:58:00-04:00,1.369863,-0.342466,false,,0.000000,,,,,,
2024-05-01,BEP,0001533232,true,17,18,21.010000,21.800000,355874.453333,12995622.477500,6034701207.480000,65.371520,4,-0.005003,0,-0.001384,0,,,-4.028314,0,-7.954906,0,,,3.760114,2,-0.027665,0,29.411765,0,0,0,0.933082,0,50.000000,1,50.000000,1,,,2.643299,1,2.379819,0,12995622.477500,2,355874.453333,1,12,15.789474,6,12.500000,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,21.730000,23.740000,21.280000,23.310000,9.249885,-2.070870,7.271054,2024-05-01T15:02:00-04:00,0.759319,0.345145,false,,0.000000,,,,,,
2024-05-01,BITF,BBG00PGMZVM7,true,21,51,1.790000,1.780000,204031.733767,33506407.196000,576609918.340000,0.543439,0,-0.049974,0,-0.007816,0,-0.008700,0,7.762749,4,2.184057,4,1.597862,3,-0.558659,0,1.154578,3,30.000000,0,0,0,0.602323,0,0.000000,0,50.000000,1,42.897727,0,7.170391,3,3.910615,1,33506407.196000,3,204031.733767,0,22,28.947368,14,29.166667,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,1.760000,1.860000,1.710000,1.780000,5.681818,-2.840909,1.136364,2024-05-01T14:53:00-04:00,1.136364,0.556818,false,,0.000000,,,,,,
2024-05-01,BLND,BBG00D0YK7V4,true,11,16,2.450000,2.450000,22109.169033,3737856.732500,608087405.450000,0.600065,0,0.105135,4,,,,,3.695984,4,,,,,0.000000,0,0.685376,2,53.333333,1,1,1,0.514473,0,54.545455,1,,,,,8.031778,3,3.673469,1,3737856.732500,0,22109.169033,0,17,22.368421,12,25.000000,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,2.420000,2.430000,2.170000,2.290000,0.413223,-10.330579,-5.371901,2024-05-01T09:30:00-04:00,0.413223,-3.512397,false,,0.000000,,,,,,
